Sample_name,Body_site,Biome
smpl700096554,Supragingival plaque,Oral
smpl700096556,Subgingival plaque,Oral
smpl700096558,L_Retroauricular crease,Skin
smpl700096560,R_Retroauricular crease,Skin
smpl700096612,Stool,Stool
smpl700096620,Saliva,Oral
smpl700096624,Tongue dorsum,Oral
smpl700096628,Buccal mucosa,Oral
smpl700096632,Palatine Tonsils,Oral
smpl700096634,Throat,Oral
smpl700096636,Supragingival plaque,Oral
smpl700096638,Subgingival plaque,Oral
smpl700096640,L_Retroauricular crease,Skin
smpl700096642,R_Retroauricular crease,Skin
smpl700096650,Vaginal introitus,Vaginal
smpl700096652,Mid vagina,Vaginal
smpl700096656,Stool,Stool
smpl700096664,Saliva,Oral
smpl700096668,Tongue dorsum,Oral
smpl700096672,Buccal mucosa,Oral
smpl700096674,Attached/Keratinized gingiva,Oral
smpl700096676,Palatine Tonsils,Oral
smpl700096678,Throat,Oral
smpl700096680,Supragingival plaque,Oral
smpl700096682,Subgingival plaque,Oral
smpl700096692,Anterior nares,Skin
smpl700096722,Stool,Stool
smpl700096730,Saliva,Oral
smpl700096734,Tongue dorsum,Oral
smpl700096736,Hard palate,Oral
smpl700096738,Buccal mucosa,Oral
smpl700096740,Attached/Keratinized gingiva,Oral
smpl700096742,Palatine Tonsils,Oral
smpl700096744,Throat,Oral
smpl700096746,Supragingival plaque,Oral
smpl700096748,Subgingival plaque,Oral
smpl700096760,Vaginal introitus,Vaginal
smpl700096762,Mid vagina,Vaginal
smpl700096887,Stool,Stool
smpl700096895,Saliva,Oral
smpl700096899,Tongue dorsum,Oral
smpl700096901,Hard palate,Oral
smpl700096903,Buccal mucosa,Oral
smpl700096905,Attached/Keratinized gingiva,Oral
smpl700096907,Palatine Tonsils,Oral
smpl700096909,Throat,Oral
smpl700096911,Supragingival plaque,Oral
smpl700096913,Subgingival plaque,Oral
smpl700096915,L_Retroauricular crease,Skin
smpl700096917,R_Retroauricular crease,Skin
smpl700096923,Anterior nares,Skin
smpl700096925,Vaginal introitus,Vaginal
smpl700096962,Stool,Stool
smpl700096970,Saliva,Oral
smpl700096974,Tongue dorsum,Oral
smpl700096976,Hard palate,Oral
smpl700096978,Buccal mucosa,Oral
smpl700096980,Attached/Keratinized gingiva,Oral
smpl700096982,Palatine Tonsils,Oral
smpl700096984,Throat,Oral
smpl700096986,Supragingival plaque,Oral
smpl700096988,Subgingival plaque,Oral
smpl700096992,R_Retroauricular crease,Skin
smpl700096998,Anterior nares,Skin
smpl700097022,Stool,Stool
smpl700097030,Saliva,Oral
smpl700097034,Tongue dorsum,Oral
smpl700097036,Hard palate,Oral
smpl700097040,Attached/Keratinized gingiva,Oral
smpl700097042,Palatine Tonsils,Oral
smpl700097044,Throat,Oral
smpl700097046,Supragingival plaque,Oral
smpl700097048,Subgingival plaque,Oral
smpl700097054,L_Antecubital fossa,Skin
smpl700097060,Vaginal introitus,Vaginal
smpl700097064,Posterior fornix,Vaginal
smpl700097135,Stool,Stool
smpl700097143,Saliva,Oral
smpl700097147,Tongue dorsum,Oral
smpl700097149,Hard palate,Oral
smpl700097151,Buccal mucosa,Oral
smpl700097153,Attached/Keratinized gingiva,Oral
smpl700097155,Palatine Tonsils,Oral
smpl700097157,Throat,Oral
smpl700097159,Supragingival plaque,Oral
smpl700097161,Subgingival plaque,Oral
smpl700097163,L_Retroauricular crease,Skin
smpl700097165,R_Retroauricular crease,Skin
smpl700097171,Anterior nares,Skin
smpl700097253,Stool,Stool
smpl700097261,Saliva,Oral
smpl700097265,Tongue dorsum,Oral
smpl700097267,Hard palate,Oral
smpl700097273,Palatine Tonsils,Oral
smpl700097275,Throat,Oral
smpl700097281,L_Retroauricular crease,Skin
smpl700097283,R_Retroauricular crease,Skin
smpl700097287,R_Antecubital fossa,Skin
smpl700097289,Anterior nares,Skin
smpl700097313,Stool,Stool
smpl700097321,Saliva,Oral
smpl700097325,Tongue dorsum,Oral
smpl700097327,Hard palate,Oral
smpl700097329,Buccal mucosa,Oral
smpl700097333,Palatine Tonsils,Oral
smpl700097335,Throat,Oral
smpl700097337,Supragingival plaque,Oral
smpl700097343,R_Retroauricular crease,Skin
smpl700097349,Anterior nares,Skin
smpl700097351,Vaginal introitus,Vaginal
smpl700097353,Mid vagina,Vaginal
smpl700097355,Posterior fornix,Vaginal
smpl700097376,Stool,Stool
smpl700097384,Saliva,Oral
smpl700097388,Tongue dorsum,Oral
smpl700097390,Hard palate,Oral
smpl700097392,Buccal mucosa,Oral
smpl700097394,Attached/Keratinized gingiva,Oral
smpl700097398,Throat,Oral
smpl700097400,Supragingival plaque,Oral
smpl700097402,Subgingival plaque,Oral
smpl700097437,Stool,Stool
smpl700097445,Saliva,Oral
smpl700097449,Tongue dorsum,Oral
smpl700097453,Buccal mucosa,Oral
smpl700097455,Attached/Keratinized gingiva,Oral
smpl700097457,Palatine Tonsils,Oral
smpl700097459,Throat,Oral
smpl700097461,Supragingival plaque,Oral
smpl700097463,Subgingival plaque,Oral
smpl700097465,L_Retroauricular crease,Skin
smpl700097467,R_Retroauricular crease,Skin
smpl700097471,R_Antecubital fossa,Skin
smpl700097473,Anterior nares,Skin
smpl700097475,Vaginal introitus,Vaginal
smpl700097477,Mid vagina,Vaginal
smpl700097503,Stool,Stool
smpl700097511,Saliva,Oral
smpl700097515,Tongue dorsum,Oral
smpl700097517,Hard palate,Oral
smpl700097519,Buccal mucosa,Oral
smpl700097523,Palatine Tonsils,Oral
smpl700097525,Throat,Oral
smpl700097527,Supragingival plaque,Oral
smpl700097529,Subgingival plaque,Oral
smpl700097533,R_Retroauricular crease,Skin
smpl700097541,Vaginal introitus,Vaginal
smpl700097543,Mid vagina,Vaginal
smpl700097545,Posterior fornix,Vaginal
smpl700097589,Stool,Stool
smpl700097597,Saliva,Oral
smpl700097601,Tongue dorsum,Oral
smpl700097603,Hard palate,Oral
smpl700097605,Buccal mucosa,Oral
smpl700097609,Palatine Tonsils,Oral
smpl700097611,Throat,Oral
smpl700097613,Supragingival plaque,Oral
smpl700097621,L_Antecubital fossa,Skin
smpl700097623,R_Antecubital fossa,Skin
smpl700097625,Anterior nares,Skin
smpl700097650,Stool,Stool
smpl700097658,Saliva,Oral
smpl700097662,Tongue dorsum,Oral
smpl700097664,Hard palate,Oral
smpl700097666,Buccal mucosa,Oral
smpl700097668,Attached/Keratinized gingiva,Oral
smpl700097670,Palatine Tonsils,Oral
smpl700097672,Throat,Oral
smpl700097674,Supragingival plaque,Oral
smpl700097676,Subgingival plaque,Oral
smpl700097678,L_Retroauricular crease,Skin
smpl700097680,R_Retroauricular crease,Skin
smpl700097773,Stool,Stool
smpl700097781,Saliva,Oral
smpl700097785,Tongue dorsum,Oral
smpl700097787,Hard palate,Oral
smpl700097789,Buccal mucosa,Oral
smpl700097793,Palatine Tonsils,Oral
smpl700097795,Throat,Oral
smpl700097797,Supragingival plaque,Oral
smpl700097799,Subgingival plaque,Oral
smpl700097801,L_Retroauricular crease,Skin
smpl700097803,R_Retroauricular crease,Skin
smpl700097809,Anterior nares,Skin
smpl700097928,Stool,Stool
smpl700097936,Saliva,Oral
smpl700097940,Tongue dorsum,Oral
smpl700097942,Hard palate,Oral
smpl700097944,Buccal mucosa,Oral
smpl700097946,Attached/Keratinized gingiva,Oral
smpl700097948,Palatine Tonsils,Oral
smpl700097950,Throat,Oral
smpl700097952,Supragingival plaque,Oral
smpl700097966,Vaginal introitus,Vaginal
smpl700097968,Mid vagina,Vaginal
smpl700097994,Stool,Stool
smpl700098002,Saliva,Oral
smpl700098006,Tongue dorsum,Oral
smpl700098008,Hard palate,Oral
smpl700098010,Buccal mucosa,Oral
smpl700098012,Attached/Keratinized gingiva,Oral
smpl700098014,Palatine Tonsils,Oral
smpl700098016,Throat,Oral
smpl700098018,Supragingival plaque,Oral
smpl700098020,Subgingival plaque,Oral
smpl700098036,Posterior fornix,Vaginal
smpl700098131,Stool,Stool
smpl700098139,Saliva,Oral
smpl700098143,Tongue dorsum,Oral
smpl700098145,Hard palate,Oral
smpl700098147,Buccal mucosa,Oral
smpl700098149,Attached/Keratinized gingiva,Oral
smpl700098151,Palatine Tonsils,Oral
smpl700098153,Throat,Oral
smpl700098155,Supragingival plaque,Oral
smpl700098157,Subgingival plaque,Oral
smpl700098161,R_Retroauricular crease,Skin
smpl700098169,Vaginal introitus,Vaginal
smpl700098171,Mid vagina,Vaginal
smpl700098173,Posterior fornix,Vaginal
smpl700098220,Stool,Stool
smpl700098228,Saliva,Oral
smpl700098232,Tongue dorsum,Oral
smpl700098234,Hard palate,Oral
smpl700098236,Buccal mucosa,Oral
smpl700098238,Attached/Keratinized gingiva,Oral
smpl700098240,Palatine Tonsils,Oral
smpl700098242,Throat,Oral
smpl700098244,Supragingival plaque,Oral
smpl700098246,Subgingival plaque,Oral
smpl700098256,Anterior nares,Skin
smpl700098451,Stool,Stool
smpl700098459,Saliva,Oral
smpl700098463,Tongue dorsum,Oral
smpl700098465,Hard palate,Oral
smpl700098467,Buccal mucosa,Oral
smpl700098469,Attached/Keratinized gingiva,Oral
smpl700098471,Palatine Tonsils,Oral
smpl700098473,Throat,Oral
smpl700098475,Supragingival plaque,Oral
smpl700098479,L_Retroauricular crease,Skin
smpl700098481,R_Retroauricular crease,Skin
smpl700098489,Vaginal introitus,Vaginal
smpl700098493,Posterior fornix,Vaginal
smpl700098621,Stool,Stool
smpl700098629,Saliva,Oral
smpl700098633,Tongue dorsum,Oral
smpl700098635,Hard palate,Oral
smpl700098637,Buccal mucosa,Oral
smpl700098639,Attached/Keratinized gingiva,Oral
smpl700098641,Palatine Tonsils,Oral
smpl700098643,Throat,Oral
smpl700098645,Supragingival plaque,Oral
smpl700098647,Subgingival plaque,Oral
smpl700098649,L_Retroauricular crease,Skin
smpl700098651,R_Retroauricular crease,Skin
smpl700098657,Anterior nares,Skin
smpl700098659,Vaginal introitus,Vaginal
smpl700098661,Mid vagina,Vaginal
smpl700098663,Posterior fornix,Vaginal
smpl700098691,Stool,Stool
smpl700098703,Tongue dorsum,Oral
smpl700098707,Buccal mucosa,Oral
smpl700098713,Throat,Oral
smpl700098721,R_Retroauricular crease,Skin
smpl700098727,Anterior nares,Skin
smpl700098729,Vaginal introitus,Vaginal
smpl700098731,Mid vagina,Vaginal
smpl700098754,Stool,Stool
smpl700098762,Saliva,Oral
smpl700098766,Tongue dorsum,Oral
smpl700098768,Hard palate,Oral
smpl700098770,Buccal mucosa,Oral
smpl700098772,Attached/Keratinized gingiva,Oral
smpl700098774,Palatine Tonsils,Oral
smpl700098776,Throat,Oral
smpl700098778,Supragingival plaque,Oral
smpl700098780,Subgingival plaque,Oral
smpl700098888,Stool,Stool
smpl700098896,Saliva,Oral
smpl700098900,Tongue dorsum,Oral
smpl700098902,Hard palate,Oral
smpl700098904,Buccal mucosa,Oral
smpl700098906,Attached/Keratinized gingiva,Oral
smpl700098908,Palatine Tonsils,Oral
smpl700098910,Throat,Oral
smpl700098912,Supragingival plaque,Oral
smpl700098914,Subgingival plaque,Oral
smpl700098926,Vaginal introitus,Vaginal
smpl700098928,Mid vagina,Vaginal
smpl700098930,Posterior fornix,Vaginal
smpl700098954,Stool,Stool
smpl700098962,Saliva,Oral
smpl700098966,Tongue dorsum,Oral
smpl700098972,Attached/Keratinized gingiva,Oral
smpl700098974,Palatine Tonsils,Oral
smpl700098976,Throat,Oral
smpl700098978,Supragingival plaque,Oral
smpl700098982,L_Retroauricular crease,Skin
smpl700098984,R_Retroauricular crease,Skin
smpl700098990,Anterior nares,Skin
smpl700098992,Vaginal introitus,Vaginal
smpl700098994,Mid vagina,Vaginal
smpl700098996,Posterior fornix,Vaginal
smpl700099021,Stool,Stool
smpl700099029,Saliva,Oral
smpl700099033,Tongue dorsum,Oral
smpl700099035,Hard palate,Oral
smpl700099037,Buccal mucosa,Oral
smpl700099039,Attached/Keratinized gingiva,Oral
smpl700099041,Palatine Tonsils,Oral
smpl700099043,Throat,Oral
smpl700099045,Supragingival plaque,Oral
smpl700099047,Subgingival plaque,Oral
smpl700099049,L_Retroauricular crease,Skin
smpl700099051,R_Retroauricular crease,Skin
smpl700099055,R_Antecubital fossa,Skin
smpl700099057,Anterior nares,Skin
smpl700099081,Stool,Stool
smpl700099089,Saliva,Oral
smpl700099093,Tongue dorsum,Oral
smpl700099095,Hard palate,Oral
smpl700099101,Palatine Tonsils,Oral
smpl700099103,Throat,Oral
smpl700099105,Supragingival plaque,Oral
smpl700099109,L_Retroauricular crease,Skin
smpl700099111,R_Retroauricular crease,Skin
smpl700099117,Anterior nares,Skin
smpl700099119,Vaginal introitus,Vaginal
smpl700099121,Mid vagina,Vaginal
smpl700099123,Posterior fornix,Vaginal
smpl700099237,Stool,Stool
smpl700099245,Saliva,Oral
smpl700099249,Tongue dorsum,Oral
smpl700099251,Hard palate,Oral
smpl700099253,Buccal mucosa,Oral
smpl700099257,Palatine Tonsils,Oral
smpl700099259,Throat,Oral
smpl700099261,Supragingival plaque,Oral
smpl700099263,Subgingival plaque,Oral
smpl700099265,L_Retroauricular crease,Skin
smpl700099268,R_Retroauricular crease,Skin
smpl700099274,Anterior nares,Skin
smpl700099276,Vaginal introitus,Vaginal
smpl700099278,Mid vagina,Vaginal
smpl700099280,Posterior fornix,Vaginal
smpl700099400,Stool,Stool
smpl700099412,Tongue dorsum,Oral
smpl700099418,Attached/Keratinized gingiva,Oral
smpl700099420,Palatine Tonsils,Oral
smpl700099424,Supragingival plaque,Oral
smpl700099426,Subgingival plaque,Oral
smpl700099428,L_Retroauricular crease,Skin
smpl700099430,R_Retroauricular crease,Skin
smpl700099464,Stool,Stool
smpl700099472,Saliva,Oral
smpl700099476,Tongue dorsum,Oral
smpl700099478,Hard palate,Oral
smpl700099480,Buccal mucosa,Oral
smpl700099482,Attached/Keratinized gingiva,Oral
smpl700099484,Palatine Tonsils,Oral
smpl700099486,Throat,Oral
smpl700099488,Supragingival plaque,Oral
smpl700099490,Subgingival plaque,Oral
smpl700099494,R_Retroauricular crease,Skin
smpl700099500,Anterior nares,Skin
smpl700099502,Vaginal introitus,Vaginal
smpl700099504,Mid vagina,Vaginal
smpl700099531,Stool,Stool
smpl700099539,Saliva,Oral
smpl700099543,Tongue dorsum,Oral
smpl700099545,Hard palate,Oral
smpl700099547,Buccal mucosa,Oral
smpl700099549,Attached/Keratinized gingiva,Oral
smpl700099551,Palatine Tonsils,Oral
smpl700099553,Throat,Oral
smpl700099555,Supragingival plaque,Oral
smpl700099557,Subgingival plaque,Oral
smpl700099559,L_Retroauricular crease,Skin
smpl700099561,R_Retroauricular crease,Skin
smpl700099609,Stool,Stool
smpl700099617,Saliva,Oral
smpl700099621,Tongue dorsum,Oral
smpl700099623,Hard palate,Oral
smpl700099627,Attached/Keratinized gingiva,Oral
smpl700099629,Palatine Tonsils,Oral
smpl700099631,Throat,Oral
smpl700099633,Supragingival plaque,Oral
smpl700099635,Subgingival plaque,Oral
smpl700099645,Anterior nares,Skin
smpl700099738,Vaginal introitus,Vaginal
smpl700099741,Mid vagina,Vaginal
smpl700099744,Posterior fornix,Vaginal
smpl700099765,Stool,Stool
smpl700099773,Saliva,Oral
smpl700099777,Tongue dorsum,Oral
smpl700099779,Hard palate,Oral
smpl700099781,Buccal mucosa,Oral
smpl700099785,Palatine Tonsils,Oral
smpl700099787,Throat,Oral
smpl700099789,Supragingival plaque,Oral
smpl700099791,Subgingival plaque,Oral
smpl700099795,R_Retroauricular crease,Skin
smpl700099978,Stool,Stool
smpl700099986,Saliva,Oral
smpl700099990,Tongue dorsum,Oral
smpl700099992,Hard palate,Oral
smpl700099994,Buccal mucosa,Oral
smpl700099996,Attached/Keratinized gingiva,Oral
smpl700099998,Palatine Tonsils,Oral
smpl700100000,Throat,Oral
smpl700100002,Supragingival plaque,Oral
smpl700100004,Subgingival plaque,Oral
smpl700100006,L_Retroauricular crease,Skin
smpl700100008,R_Retroauricular crease,Skin
smpl700100041,Stool,Stool
smpl700100049,Saliva,Oral
smpl700100053,Tongue dorsum,Oral
smpl700100055,Hard palate,Oral
smpl700100057,Buccal mucosa,Oral
smpl700100063,Throat,Oral
smpl700100065,Supragingival plaque,Oral
smpl700100067,Subgingival plaque,Oral
smpl700100069,L_Retroauricular crease,Skin
smpl700100071,R_Retroauricular crease,Skin
smpl700100073,L_Antecubital fossa,Skin
smpl700100075,R_Antecubital fossa,Skin
smpl700100077,Anterior nares,Skin
smpl700100184,Stool,Stool
smpl700100199,Hard palate,Oral
smpl700100201,Buccal mucosa,Oral
smpl700100203,Attached/Keratinized gingiva,Oral
smpl700100205,Palatine Tonsils,Oral
smpl700100209,Supragingival plaque,Oral
smpl700101095,Stool,Stool
smpl700101103,Saliva,Oral
smpl700101107,Tongue dorsum,Oral
smpl700101109,Hard palate,Oral
smpl700101111,Buccal mucosa,Oral
smpl700101113,Attached/Keratinized gingiva,Oral
smpl700101115,Palatine Tonsils,Oral
smpl700101117,Throat,Oral
smpl700101119,Supragingival plaque,Oral
smpl700101121,Subgingival plaque,Oral
smpl700101123,L_Retroauricular crease,Skin
smpl700101125,R_Retroauricular crease,Skin
smpl700101127,L_Antecubital fossa,Skin
smpl700101131,Anterior nares,Skin
smpl700101657,Stool,Stool
smpl700101665,Saliva,Oral
smpl700101669,Tongue dorsum,Oral
smpl700101671,Hard palate,Oral
smpl700101673,Buccal mucosa,Oral
smpl700101675,Attached/Keratinized gingiva,Oral
smpl700101677,Palatine Tonsils,Oral
smpl700101679,Throat,Oral
smpl700101681,Supragingival plaque,Oral
smpl700101683,Subgingival plaque,Oral
smpl700101685,L_Retroauricular crease,Skin
smpl700101687,R_Retroauricular crease,Skin
smpl700101691,R_Antecubital fossa,Skin
smpl700101693,Anterior nares,Skin
smpl700101805,Tongue dorsum,Oral
smpl700102070,Saliva,Oral
smpl700102092,R_Retroauricular crease,Skin
smpl700102104,Anterior nares,Skin
smpl700102167,L_Antecubital fossa,Skin
smpl700102549,Saliva,Oral
smpl700102553,Tongue dorsum,Oral
smpl700102559,Attached/Keratinized gingiva,Oral
smpl700102561,Palatine Tonsils,Oral
smpl700102563,Throat,Oral
smpl700102565,Supragingival plaque,Oral
smpl700102567,Subgingival plaque,Oral
smpl700102579,Vaginal introitus,Vaginal
smpl700102581,Mid vagina,Vaginal
smpl700102583,Posterior fornix,Vaginal
smpl700102867,Stool,Stool
smpl700102875,Saliva,Oral
smpl700102879,Tongue dorsum,Oral
smpl700102881,Hard palate,Oral
smpl700102883,Buccal mucosa,Oral
smpl700102885,Attached/Keratinized gingiva,Oral
smpl700102887,Palatine Tonsils,Oral
smpl700102889,Throat,Oral
smpl700102891,Supragingival plaque,Oral
smpl700102893,Subgingival plaque,Oral
smpl700102895,L_Retroauricular crease,Skin
smpl700102897,R_Retroauricular crease,Skin
smpl700102899,L_Antecubital fossa,Skin
smpl700102901,R_Antecubital fossa,Skin
smpl700102903,Anterior nares,Skin
smpl700103247,Tongue dorsum,Oral
smpl700103249,Hard palate,Oral
smpl700103251,Buccal mucosa,Oral
smpl700103253,Attached/Keratinized gingiva,Oral
smpl700103255,Palatine Tonsils,Oral
smpl700103257,Throat,Oral
smpl700103259,Supragingival plaque,Oral
smpl700103261,Subgingival plaque,Oral
smpl700103263,L_Retroauricular crease,Skin
smpl700103265,R_Retroauricular crease,Skin
smpl700103291,L_Retroauricular crease,Skin
smpl700103293,R_Retroauricular crease,Skin
smpl700103299,Anterior nares,Skin
smpl700103301,Vaginal introitus,Vaginal
smpl700103305,Posterior fornix,Vaginal
smpl700103307,Saliva,Oral
smpl700103311,Tongue dorsum,Oral
smpl700103313,Hard palate,Oral
smpl700103315,Buccal mucosa,Oral
smpl700103317,Attached/Keratinized gingiva,Oral
smpl700103319,Palatine Tonsils,Oral
smpl700103321,Throat,Oral
smpl700103323,Supragingival plaque,Oral
smpl700103325,Subgingival plaque,Oral
smpl700103501,L_Retroauricular crease,Skin
smpl700103507,R_Antecubital fossa,Skin
smpl700103513,Mid vagina,Vaginal
smpl700103515,Posterior fornix,Vaginal
smpl700103517,Saliva,Oral
smpl700103521,Tongue dorsum,Oral
smpl700103531,Throat,Oral
smpl700103533,Supragingival plaque,Oral
smpl700103535,Subgingival plaque,Oral
smpl700103575,Stool,Stool
smpl700103577,L_Retroauricular crease,Skin
smpl700103579,R_Retroauricular crease,Skin
smpl700103581,L_Antecubital fossa,Skin
smpl700103583,R_Antecubital fossa,Skin
smpl700103591,Tongue dorsum,Oral
smpl700103593,Hard palate,Oral
smpl700103595,Buccal mucosa,Oral
smpl700103597,Attached/Keratinized gingiva,Oral
smpl700103599,Palatine Tonsils,Oral
smpl700103601,Throat,Oral
smpl700103603,Supragingival plaque,Oral
smpl700103605,Subgingival plaque,Oral
smpl700105003,L_Retroauricular crease,Skin
smpl700105005,R_Retroauricular crease,Skin
smpl700105007,L_Antecubital fossa,Skin
smpl700105013,Saliva,Oral
smpl700105017,Tongue dorsum,Oral
smpl700105023,Attached/Keratinized gingiva,Oral
smpl700105025,Palatine Tonsils,Oral
smpl700105051,L_Retroauricular crease,Skin
smpl700105053,R_Retroauricular crease,Skin
smpl700105055,L_Antecubital fossa,Skin
smpl700105063,Mid vagina,Vaginal
smpl700105065,Posterior fornix,Vaginal
smpl700105071,Tongue dorsum,Oral
smpl700105073,Hard palate,Oral
smpl700105075,Buccal mucosa,Oral
smpl700105077,Attached/Keratinized gingiva,Oral
smpl700105079,Palatine Tonsils,Oral
smpl700105083,Supragingival plaque,Oral
smpl700105085,Subgingival plaque,Oral
smpl700105087,Stool,Stool
smpl700105108,L_Retroauricular crease,Skin
smpl700105110,R_Retroauricular crease,Skin
smpl700105112,L_Antecubital fossa,Skin
smpl700105118,Vaginal introitus,Vaginal
smpl700105120,Mid vagina,Vaginal
smpl700105122,Posterior fornix,Vaginal
smpl700105124,Stool,Stool
smpl700105130,Tongue dorsum,Oral
smpl700105132,Hard palate,Oral
smpl700105134,Buccal mucosa,Oral
smpl700105136,Attached/Keratinized gingiva,Oral
smpl700105138,Palatine Tonsils,Oral
smpl700105140,Throat,Oral
smpl700105142,Supragingival plaque,Oral
smpl700105144,Subgingival plaque,Oral
smpl700105165,L_Retroauricular crease,Skin
smpl700105167,R_Retroauricular crease,Skin
smpl700105169,L_Antecubital fossa,Skin
smpl700105171,R_Antecubital fossa,Skin
smpl700105173,Anterior nares,Skin
smpl700105175,Vaginal introitus,Vaginal
smpl700105177,Mid vagina,Vaginal
smpl700105179,Posterior fornix,Vaginal
smpl700105181,Stool,Stool
smpl700105183,Saliva,Oral
smpl700105187,Tongue dorsum,Oral
smpl700105189,Hard palate,Oral
smpl700105191,Buccal mucosa,Oral
smpl700105193,Attached/Keratinized gingiva,Oral
smpl700105195,Palatine Tonsils,Oral
smpl700105197,Throat,Oral
smpl700105199,Supragingival plaque,Oral
smpl700105201,Subgingival plaque,Oral
smpl700105324,L_Retroauricular crease,Skin
smpl700105326,R_Retroauricular crease,Skin
smpl700105334,Stool,Stool
smpl700105340,Tongue dorsum,Oral
smpl700105342,Hard palate,Oral
smpl700105346,Attached/Keratinized gingiva,Oral
smpl700105348,Palatine Tonsils,Oral
smpl700105423,Tongue dorsum,Oral
smpl700105427,Buccal mucosa,Oral
smpl700105429,Attached/Keratinized gingiva,Oral
smpl700105431,Palatine Tonsils,Oral
smpl700105435,Supragingival plaque,Oral
smpl700105437,Subgingival plaque,Oral
smpl700105459,Stool,Stool
smpl700105482,R_Retroauricular crease,Skin
smpl700105494,Posterior fornix,Vaginal
smpl700105496,Stool,Stool
smpl700105498,Tongue dorsum,Oral
smpl700105500,Hard palate,Oral
smpl700105502,Buccal mucosa,Oral
smpl700105504,Attached/Keratinized gingiva,Oral
smpl700105506,Palatine Tonsils,Oral
smpl700105508,Throat,Oral
smpl700105510,Supragingival plaque,Oral
smpl700105512,Subgingival plaque,Oral
smpl700105536,L_Retroauricular crease,Skin
smpl700105538,R_Retroauricular crease,Skin
smpl700105634,L_Retroauricular crease,Skin
smpl700105636,R_Retroauricular crease,Skin
smpl700105644,Mid vagina,Vaginal
smpl700105646,Posterior fornix,Vaginal
smpl700105652,Tongue dorsum,Oral
smpl700105654,Hard palate,Oral
smpl700105658,Attached/Keratinized gingiva,Oral
smpl700105660,Palatine Tonsils,Oral
smpl700105662,Throat,Oral
smpl700105666,Subgingival plaque,Oral
smpl700105687,Saliva,Oral
smpl700105691,Tongue dorsum,Oral
smpl700105693,Hard palate,Oral
smpl700105695,Buccal mucosa,Oral
smpl700105697,Attached/Keratinized gingiva,Oral
smpl700105699,Palatine Tonsils,Oral
smpl700105701,Throat,Oral
smpl700105703,Supragingival plaque,Oral
smpl700105705,Subgingival plaque,Oral
smpl700105707,L_Retroauricular crease,Skin
smpl700105717,Vaginal introitus,Vaginal
smpl700105719,Mid vagina,Vaginal
smpl700105721,Posterior fornix,Vaginal
smpl700105723,Stool,Stool
smpl700105798,L_Retroauricular crease,Skin
smpl700105800,R_Retroauricular crease,Skin
smpl700105802,L_Antecubital fossa,Skin
smpl700105808,Saliva,Oral
smpl700105812,Tongue dorsum,Oral
smpl700105814,Hard palate,Oral
smpl700105816,Buccal mucosa,Oral
smpl700105818,Attached/Keratinized gingiva,Oral
smpl700105820,Palatine Tonsils,Oral
smpl700105826,Supragingival plaque,Oral
smpl700105828,Subgingival plaque,Oral
smpl700105846,L_Retroauricular crease,Skin
smpl700105848,R_Retroauricular crease,Skin
smpl700105854,Anterior nares,Skin
smpl700105856,Stool,Stool
smpl700105862,Tongue dorsum,Oral
smpl700105864,Hard palate,Oral
smpl700105866,Buccal mucosa,Oral
smpl700105868,Attached/Keratinized gingiva,Oral
smpl700105870,Palatine Tonsils,Oral
smpl700105874,Supragingival plaque,Oral
smpl700105876,Subgingival plaque,Oral
smpl700105894,L_Retroauricular crease,Skin
smpl700105896,R_Retroauricular crease,Skin
smpl700105898,L_Antecubital fossa,Skin
smpl700105900,R_Antecubital fossa,Skin
smpl700105902,Anterior nares,Skin
smpl700105906,Saliva,Oral
smpl700105910,Tongue dorsum,Oral
smpl700105912,Hard palate,Oral
smpl700105914,Buccal mucosa,Oral
smpl700105916,Attached/Keratinized gingiva,Oral
smpl700105918,Palatine Tonsils,Oral
smpl700105920,Throat,Oral
smpl700105922,Supragingival plaque,Oral
smpl700105924,Subgingival plaque,Oral
smpl700105942,Tongue dorsum,Oral
smpl700105944,Hard palate,Oral
smpl700105948,Attached/Keratinized gingiva,Oral
smpl700105952,Throat,Oral
smpl700105954,Supragingival plaque,Oral
smpl700105956,Subgingival plaque,Oral
smpl700105960,R_Retroauricular crease,Skin
smpl700105964,R_Antecubital fossa,Skin
smpl700105994,Vaginal introitus,Vaginal
smpl700105996,Mid vagina,Vaginal
smpl700105998,Posterior fornix,Vaginal
smpl700106350,Stool,Stool
smpl700106360,Anterior nares,Skin
smpl700106366,Tongue dorsum,Oral
smpl700106368,Hard palate,Oral
smpl700106370,Buccal mucosa,Oral
smpl700106372,Attached/Keratinized gingiva,Oral
smpl700106374,Palatine Tonsils,Oral
smpl700106376,Throat,Oral
smpl700106378,Supragingival plaque,Oral
smpl700106380,Subgingival plaque,Oral
smpl700106414,Saliva,Oral
smpl700106418,Tongue dorsum,Oral
smpl700106420,Hard palate,Oral
smpl700106422,Buccal mucosa,Oral
smpl700106424,Attached/Keratinized gingiva,Oral
smpl700106426,Palatine Tonsils,Oral
smpl700106428,Throat,Oral
smpl700106506,L_Retroauricular crease,Skin
smpl700106508,R_Retroauricular crease,Skin
smpl700106512,Anterior nares,Skin
smpl700106516,Vaginal introitus,Vaginal
smpl700106518,Mid vagina,Vaginal
smpl700106520,Posterior fornix,Vaginal
smpl700106522,Saliva,Oral
smpl700106526,Tongue dorsum,Oral
smpl700106528,Hard palate,Oral
